classes,tweet
1, As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1, momma said no pussy cats inside my doghouse 
1, SimplyAddictedToGuys woof woof hot scally lad
1, woof woof and hot soles
1, Lemmie eat a Oreo amp do these dishes One oreo Lol
1, Why the eggplant emoji doey he say she looked like scream lmao
1, baby monkey bathtime Awwwwe This is soooo ADORABLE
0, queer gaywad
0, alsarabsss hes a beaner smh you can tell hes a mexican
0, youre fucking gay blacklisted hoe Holding out for TehGodClan anyway 
1, Baseball season for the win Yankees This is where the love started
1, Im an early bird and Im a night owl so Im wise and have worms
1, Overdosing on heavy drugs doesnt sound bad tonight I do that pussy shit every day
1, Pit Bulls Photographed As Lovely Fairy Tale Creatures They are fairy tale creatures
1, As long as the Lakers trash from now on I could careless And thats real CC hahaha
1, this the I play soccer cheat on girls and wear khaki coloured cargos haircut yup
1, This isnt ghettoits smart Im doing this idc
1, Who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
1, Peel up peel up bring it back up rewind back where Im from they move Shaq from the line ooooow who tf said that trash
1, UCFPINKPAY come on stay alive knights nation This is still the early bird special ComeAtMeUT
1, Stay tuned to for an update on the report that B will be out weeks bum
1, I play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
0, LMFAOOOO I HATE BLACK PEOPLE This is why theres black people and niggers
1, a pissed lad past out I would lick his dirty soles while he slept
1, love frat boy w soft long soles
1, sexy lad with hot soles and arches
1, I got hicks lol
1, birds your grandkids may never see thanks to climate change Climate
0, At least Im not a nigger Lmfao
0, Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo
1, Fosters home for imaginary trash WHOA CHILL that show was everything tf
1, of welfaregovernment aid is claimed by white people So yall black slander is trash now
0, Drakes new shoes that will be released by NikeJordan Yes theres glitter on the shoes dudes a fag
1, inna di ghetto You alone lmaoo
1, hoes Austin teach us AustinI teach u how to get curved Thats all I know
1, Eli Manning just threw his NFLleading th interception of the season Lmao trash
1, USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team hes a bitch
1, Chilling sexy scally lad
1, tuku ho idk blah blah blah 
1, Im not mad cuh hahaha suure tuku ho ita 
1, this scally lad would get it
0, GerrysHalloweenParty Halloween was yesterday stupid nigger
1, sad TV character deaths were still bitter over ned stark was the man
1, A smuggler explains how he helped fighters along the Jihadi Highway 
1, Down Yankees look to rally in the bottom of the th RALLYCAP
0, is bored supposed to be cute you faggot Sometimes
1, One mans trash is another mans treasure 
0, lassen cc the coach wants me i feel it youll get more my nig no doubt
1, Ashley Young has tried to deny that bird s landed in his mouth gt hahaha
1, Take me for a ride redneck woof woof
1, Sitting on my window sill window open bird tries to fly in Smacked it ProtectTheAnimals 
1, a video an entire media will likely mock i am such a crybaby
1, Jihadi patron Hajjaj alAjmi is arrested at Kuwait airport 
1, tweety bird tho 
1, When twitter rappers dm me their trash links 
0, Jackies a retard blondeproblems At least I can make a grilled cheese
1, Photo he is in sole heaven
0, Stacey Dash won baddest bitch evaaaa
1, We actin like its the th day spook
1, colored contacts in your eyes blinders on mine cause i cant see you at all Lmao
1, swears Im man easily easily behind Austin nip
1, HGWells and Charlie Chaplin History Photography
1, I told Mariam to but cigarettes for her birthday You also called me trash rn
1, brownies tonight what kind
1, Fit lads Nice gear these scally lads n trainers would get it
1, I saw an ajumma walk out in the beginning saying Wow this is so trash that I cant even listen to it lmaoo
1, Dude remember this wop video OMG WHERE DID YOU FIND THAT
1, RAWR My sexy French scally I love him frenchscally sexy scally woof woof
1, Baby albino 
1,Bae sounds like such a ghetto word Use something else
1,Brownies for my brownie I love this movie 
1,Chinese Maverick We were communicating Comrade u know giving the imperialist Yanks the Birdie 
0,Dont worry about the nigga you see worry about the nigga you DONT see Dats da nigga fuckin yo bitch
1,Generate ASCII boxes with NodeJS all I see is the ability to bring flappybird in node via ASCII tubes and bird 
0,Hey go look at that video of the man that found the kidnapped girls in Ohiowhat a nigger shitmybosssays
1,How about we draft all those gungho folks and send them to Afghanistan or other war zones so they can show their 
1,I am a thrill billywith a hillbilly heart HAHAHAHAHA Jesus Murphy
1,I found a new way to chug you have to open your mouth alot shitallysays
1,Ill slit your throatneck 
1,Is that an albino Mexican No dad hes Asian
1,Just follow the yellow brick twitter
1,LOL cripple Wendy Davis Scientists create remotecontrolled chick to study shy penguins 
0,Lets kill cracker babies WTF did I just hear WOW
1,Mam Rene doet in haar rol net of ze ongesteld is Wat is ongesteld Van dat soort vragen waar je denkt hoe leg ik die weer uit
1,Mine plays DMX and kirk Franklin smh Well my neighbors are ghetto They get up at like am and beat their kids
0,My grandma used to call me a porch monkey all the time Come to think of it she did refer to a broken bottle as a nigger knife 
0,Nah its You yo i thought some photoshopped my face on that faggot smmfhi hate yall 
1,OVO amp kendrick lamar still trash
1,Only a couple of Red Sox have gotten past first base Im dying laughing Maybe the Yanks need to teach them some game
0,Our people Now is the time for the Aryan race stand up and say no more Before the mongerls turn the world into a ghetto slum 
1,The devil grows inside the hearts of the selfish and wicked White brown yellow and black color is not restricted
1,The water isnt yellow Im a healthy student
0,These sour apple bitter bitches Im not fuckin wit em
1,They have to That division is trash Saints gon win the NFC Southwatch
1,This recipe calls for a leftover brownie What the hell is a LEFTOVER brownie Thats just a brownie you havent eaten yet
1,Two roads diverged in a yellow wood and I chose the one to Jtunheimr Robert Frost Giant
0,We hate niggers we hate faggots and we hate spicskkk rally
0,Were out here and were queer hut We like it in our butt
0,Who the fuck you callin jiggaboo nigga
0,Why people think gay marriage is okay is beyond me Sorry I dont want my future son seeing fags walking down the street holding hands an
1,YAH has said in his word that the Mtzraymegyptians are his people and Ysrahal is his inheritance and the Kushiteethiopians
1,Yaoooooooo Mawnin yardies 
0,You aint gunna do shit spear chucker
